Manufacturer;Name;FlashDevice;DeviceFamily;BetaSupport;ExternalBus;Endian;CoreId;BaseAddr;RAMAddr;RAMSize
Abov;AC33M6128L;AC33M8128 internal;030000FF;0;0;0;4BA00477;0;20000000;3000
Abov;AC33M8128;AC33M8128 internal;030000FF;0;0;0;4BA00477;0;20000000;3000
Abov;AC33M8128L;AC33M8128 internal;030000FF;0;0;0;4BA00477;0;20000000;3000
Actel;A2F060M3E;A2FxxxM3E internal;030000FF;0;0;0;3BA00477;60000000;20000000;4000
Actel;A2F060M3F;A2FxxxM3F internal;030000FF;0;0;0;3BA00477;60000000;20000000;4000
Actel;A2F060M3G;A2FxxxM3G internal;030000FF;0;0;0;3BA00477;60000000;20000000;4000
Actel;A2F200M3E;A2FxxxM3E internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
Actel;A2F200M3F;A2FxxxM3F internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
Actel;A2F200M3G;A2FxxxM3G internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
Actel;A2F500M3E;A2FxxxM3E internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
Actel;A2F500M3F;A2FxxxM3F internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
Actel;A2F500M3G;A2FxxxM3G internal;030000FF;0;0;0;3BA00477;60000000;20000000;10000
active-semi;PAC5210;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
active-semi;PAC5220;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
active-semi;PAC5220WP;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
active-semi;PAC5223;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
active-semi;PAC5250;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
active-semi;PAC5253;PAC52xx internal;060000FF;0;0;0;0BB11477;0;20000000;2000
Altera;Cyclone V;;080900FF;0;1;2;4BA00477;000000000;FFFF0000;10000
AmbiqMicro;APOLLO512;APOLLO512 internal;0E0000FF;0;1;0;2BA00477;0;10000000;10000
AmbiqMicro;APOLLO256;APOLLO256 internal;0E0000FF;0;1;0;2BA00477;0;10000000;8000
AmbiqMicro;APOLLO128;APOLLO128 internal;0E0000FF;0;1;0;2BA00477;0;10000000;8000
AmbiqMicro;APOLLO064;APOLLO064 internal;0E0000FF;0;1;0;2BA00477;0;10000000;4000
